,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
201,201,Hambantota,6.1241,81.1185,73.11,74,100,16.06,LK,1612989261,
203,203,Pouembout,-21.1333,164.9,76.91,78,44,5.88,NC,1612989262,
211,211,Digha,21.6833,87.55,66.74,83,0,7.99,IN,1612989263,
217,217,Pisco,-13.7,-76.2167,77.0,73,75,10.36,PE,1612989264,
218,218,Charcas,23.1333,-101.1167,73.4,20,9,8.08,MX,1612989264,
219,219,Lamu,-2.2717,40.902,78.8,78,20,12.01,KE,1612989265,
222,222,Isabela,6.7085,121.9711,78.13,84,65,1.9,PH,1612989266,
228,228,Daru,-9.0763,143.2092,78.66,88,100,5.01,PG,1612989267,
238,238,Port Moresby,-9.4431,147.1797,75.2,94,40,5.75,PG,1612989268,
244,244,Pemangkat,1.1667,108.9667,76.32,88,83,7.02,ID,1612989270,
250,250,Meulaboh,4.1363,96.1285,76.66,89,74,4.47,ID,1612989271,
260,260,Codrington,-38.2667,141.9667,68.22,58,84,8.19,AU,1612989272,
265,265,Pemba,-12.974,40.5178,78.8,94,75,13.8,MZ,1612989274,
267,267,Tabou,4.423,-7.3528,79.12,86,16,7.43,CI,1612989276,
271,271,Kahului,20.8947,-156.47,75.2,60,40,17.27,US,1612989277,
273,273,Andapa,-14.65,49.65,71.19,91,100,0.72,MG,1612989278,
275,275,Mount Gambier,-37.8333,140.7667,66.2,63,74,4.61,AU,1612989157,
279,279,Dingle,10.9995,122.6711,74.68,88,67,1.3,PH,1612989280,
281,281,Srandakan,-7.9386,110.2506,76.96,85,71,3.31,ID,1612989281,
284,284,Bubaque,11.2833,-15.8333,77.23,79,48,13.22,GW,1612989282,
287,287,Buluang,13.3068,123.3425,74.48,89,5,4.27,PH,1612989283,
290,290,San Miguel de Tucumán,-26.8241,-65.2226,77.0,61,40,5.75,AR,1612989154,
295,295,Omboué,-1.5746,9.2618,79.56,89,100,3.71,GA,1612989285,
296,296,Lodja,-3.4833,23.4333,75.99,67,100,1.59,CD,1612989285,
300,300,Calvinia,-31.4707,19.776,76.15,20,4,4.03,ZA,1612989286,
302,302,Dakar,14.6937,-17.4441,68.0,73,0,8.05,SN,1612989287,
312,312,Chabahar,25.2919,60.643,71.28,49,100,5.41,IR,1612989289,
315,315,Ixtapa,20.7,-105.2,73.4,73,1,11.5,MX,1612989290,
316,316,Lorengau,-2.0226,147.2712,78.33,88,100,21.36,PG,1612989291,
317,317,Queula,15.3833,73.9667,73.4,78,0,4.61,IN,1612989291,
319,319,Villa Unión,23.2,-106.2333,75.99,68,20,9.22,MX,1612989292,
322,322,Porbandar,21.6422,69.6093,66.11,53,100,4.27,IN,1612989293,
323,323,Kibuye,-2.0597,29.3482,68.58,71,100,1.41,RW,1612989293,
324,324,Hermosillo,29.0667,-110.9667,75.99,25,40,4.61,MX,1612989056,
332,332,Tessalit,20.1986,1.0114,71.64,17,0,9.53,ML,1612989296,
335,335,Koumac,-20.5667,164.2833,78.48,72,38,9.8,NC,1612989297,
336,336,Tonj,7.2737,28.6822,79.36,20,99,5.48,SS,1612989297,
337,337,Kununurra,-15.7667,128.7333,77.0,78,97,3.13,AU,1612989298,
338,338,Yambio,4.5721,28.3955,75.2,29,100,1.68,SS,1612989299,
340,340,Aitape,-3.1374,142.3475,77.74,85,100,3.36,PG,1612989300,
344,344,Mossamedes,-15.1961,12.1522,73.67,73,100,6.26,AO,1612989302,
346,346,Port Lincoln,-34.7333,135.8667,76.73,42,56,10.98,AU,1612989304,
347,347,Caravelas,-17.7125,-39.2481,77.86,74,34,7.02,BR,1612989304,
350,350,Bonthe,7.5264,-12.505,79.5,82,64,8.5,SL,1612989306,
351,351,Pandan,14.0453,124.1694,76.71,86,15,7.49,PH,1612989306,
